time,node0,node1,node2,node3
577,0.044762,0.047398,0.047533,0.047668
581,0.045748,0.04817,0.048199,0.048086
585,0.044594,0.049204,0.047191,0.049202
589,0.04413,0.04883,0.047458,0.046511
593,0.04541,0.048191,0.046828,0.047806
597,0.046577,0.048144,0.047763,0.048116
601,0.046117,0.04891,0.047932,0.048012
605,0.043705,0.048237,0.050188,0.04724
609,0.045275,0.047729,0.045682,0.047135
613,0.045789,0.047774,0.045158,0.048373
617,0.044846,0.047969,0.050106,0.049139
621,0.046898,0.046574,0.04839,0.047889
625,0.04584,0.047197,0.047517,0.047375
629,0.046414,0.046394,0.047501,0.046743
633,0.045857,0.046464,0.048249,0.046393
637,0.045608,0.047134,0.047208,0.047142
641,0.045188,0.047269,0.046966,0.04767
645,0.045107,0.046933,0.046157,0.046536
649,0.044223,0.046644,0.047314,0.046555
653,0.042185,0.048412,0.046943,0.047495
657,0.041955,0.049017,0.048644,0.04363
661,0.042946,0.048872,0.050024,0.04332
665,0.041307,0.046208,0.050286,0.046399
669,0.041516,0.048636,0.051505,0.048462
673,0.041876,0.046437,0.048602,0.046362
677,0.042381,0.048083,0.049463,0.043981
681,0.042556,0.047357,0.048404,0.044168
685,0.044438,0.045015,0.046565,0.04517
689,0.043562,0.044993,0.046507,0.044784
693,0.043572,0.045521,0.046701,0.045591
697,0.042815,0.044782,0.047433,0.043147
701,0.043227,0.045654,0.048689,0.043641
705,0.043301,0.0476,0.049557,0.047297
709,0.045166,0.04894,0.050809,0.047592
713,0.044287,0.0485,0.050558,0.048719
717,0.043833,0.049762,0.051449,0.049707
721,0.043555,0.04955,0.051698,0.049569
725,0.0442,0.050128,0.052719,0.048146
729,0.04317,0.05026,0.052091,0.048836
733,0.042792,0.050575,0.052347,0.049294
737,0.043416,0.049219,0.052736,0.049609
741,0.043721,0.049813,0.052762,0.049156
745,0.043773,0.050639,0.053194,0.049415
749,0.044401,0.049644,0.052008,0.049945
753,0.043683,0.049409,0.052612,0.051883
757,0.046081,0.050631,0.05179,0.049388
761,0.043485,0.048941,0.050624,0.048517
765,0.044518,0.048249,0.048951,0.04741
769,0.044449,0.049267,0.048783,0.047544
773,0.044545,0.048782,0.047752,0.047353
777,0.044658,0.049087,0.048648,0.047446
781,0.043861,0.049206,0.049267,0.048299
785,0.044934,0.04891,0.048918,0.047182
789,0.045517,0.049296,0.048501,0.048079
793,0.045648,0.049229,0.049113,0.047501
797,0.045273,0.049673,0.049224,0.047257
801,0.045799,0.049225,0.04903,0.048808
805,0.045817,0.049195,0.049447,0.048069
809,0.042752,0.050913,0.048819,0.048923
813,0.04328,0.05153,0.0496,0.049253
817,0.043106,0.051278,0.048641,0.048529
821,0.043508,0.052164,0.047862,0.047773
825,0.043132,0.051173,0.050453,0.047455
829,0.043156,0.05061,0.048571,0.04773
833,0.04302,0.050134,0.047748,0.047436
837,0.042543,0.050726,0.047504,0.047321
841,0.043539,0.053076,0.049738,0.049024
845,0.042989,0.051156,0.048462,0.048067
849,0.04328,0.051187,0.048056,0.046873
853,0.043263,0.050985,0.047617,0.047562
857,0.043193,0.051192,0.047955,0.046419
861,0.043276,0.050778,0.049117,0.046986
865,0.043066,0.050288,0.048452,0.045981
869,0.043146,0.050034,0.048806,0.04621
873,0.043006,0.050107,0.048755,0.047018
877,0.045354,0.052583,0.05011,0.047284
881,0.045808,0.054706,0.052258,0.049691
885,0.045457,0.051147,0.04715,0.054782
889,0.045409,0.05428,0.051549,0.048964
893,0.044663,0.053641,0.050828,0.049964
897,0.044226,0.053931,0.049945,0.050552
901,0.044222,0.053192,0.049837,0.049348
905,0.04374,0.052723,0.049816,0.050516
909,0.044229,0.051288,0.049598,0.051323
913,0.04372,0.052478,0.04896,0.048448
917,0.043347,0.053394,0.046546,0.047937
921,0.043826,0.054601,0.046492,0.04878
925,0.043876,0.055475,0.046691,0.048469
929,0.04381,0.055742,0.047346,0.047714
933,0.044064,0.054798,0.047401,0.050075
937,0.043649,0.053553,0.046487,0.049413
941,0.043459,0.054273,0.045508,0.048689
945,0.042948,0.054122,0.045912,0.0491
949,0.042369,0.053941,0.045796,0.048452
953,0.044295,0.048169,0.047443,0.050272
957,0.044529,0.048701,0.051236,0.04746
961,0.043697,0.048434,0.051192,0.047438
965,0.044459,0.048475,0.050918,0.047311
969,0.044354,0.049479,0.050289,0.046816
973,0.044533,0.049374,0.050166,0.048287
977,0.044632,0.050153,0.052169,0.050392
981,0.044,0.049718,0.050694,0.047924
985,0.044305,0.049359,0.051467,0.047858
989,0.044216,0.050747,0.051722,0.048305
993,0.04437,0.050987,0.051508,0.047068
997,0.044565,0.051655,0.051899,0.04745
1001,0.044083,0.051052,0.05147,0.048378
1005,0.043816,0.05134,0.050729,0.047885
1009,0.044544,0.051451,0.051313,0.048114
1013,0.044519,0.050753,0.052309,0.04934
1017,0.044211,0.052313,0.051512,0.050105
1021,0.044085,0.050766,0.052459,0.04909
1025,0.044632,0.05107,0.052122,0.048838
1029,0.044165,0.051569,0.051693,0.048992
1033,0.044899,0.050297,0.052371,0.04956
1037,0.044087,0.050091,0.052277,0.049483
1041,0.044672,0.050622,0.051879,0.050312
1045,0.045322,0.051045,0.052891,0.050282
1049,0.045125,0.051517,0.052361,0.049709
1053,0.045491,0.051832,0.053608,0.050376
1057,0.045051,0.052428,0.053863,0.051537
1061,0.045225,0.051315,0.053829,0.050434
1065,0.045897,0.051016,0.054151,0.051024
1069,0.045177,0.056904,0.048112,0.051808
1073,0.045388,0.053181,0.056077,0.052719
1077,0.045025,0.057016,0.048999,0.05114
1081,0.045164,0.056871,0.050098,0.050573
1085,0.044998,0.057809,0.049409,0.050453
1089,0.045032,0.052759,0.054067,0.051741
1093,0.045037,0.058992,0.049571,0.052007
1097,0.044384,0.058275,0.051836,0.050905
1101,0.044106,0.058186,0.051427,0.049667
1105,0.04398,0.059061,0.052184,0.049324
1109,0.047221,0.060715,0.053864,0.052373
1113,0.045482,0.061004,0.053328,0.051193
1117,0.0443,0.058986,0.051734,0.0493
1121,0.045284,0.060053,0.051451,0.049457
1125,0.043818,0.059175,0.051585,0.049218
1129,0.044757,0.05926,0.051086,0.049356
1133,0.044149,0.0582,0.05202,0.049759
1137,0.044278,0.05854,0.052566,0.049795
1141,0.043793,0.057482,0.053362,0.048781
1145,0.04406,0.056891,0.053024,0.048352
1149,0.044246,0.057488,0.054062,0.049116
1153,0.047357,0.054662,0.053902,0.049503
1157,0.046839,0.054,0.053225,0.049512
1161,0.046929,0.054173,0.053913,0.049658
1165,0.047223,0.053522,0.053597,0.048845
1169,0.044171,0.056452,0.05327,0.048729
1173,0.044557,0.057808,0.052527,0.049926
1177,0.044357,0.057778,0.052183,0.04969
1181,0.044205,0.058334,0.051689,0.049067
1185,0.043839,0.057408,0.051689,0.048984
1189,0.042944,0.058683,0.052258,0.049104
1193,0.042776,0.057808,0.050646,0.04912
1197,0.042651,0.058791,0.051765,0.048442
1201,0.042632,0.057666,0.05181,0.049073
1205,0.04262,0.058246,0.051301,0.049092
1209,0.043685,0.057661,0.052131,0.049216
1213,0.04355,0.057233,0.0521,0.048286
1217,0.043695,0.057438,0.051858,0.048514
1221,0.043229,0.059246,0.05142,0.050364
1225,0.043212,0.058334,0.051512,0.051023
1229,0.043339,0.059206,0.056614,0.049809
1233,0.043884,0.05927,0.055884,0.050643
1237,0.043965,0.058808,0.053674,0.049576
1241,0.044812,0.060402,0.054551,0.050413
1245,0.043623,0.057984,0.053617,0.051099
1249,0.043911,0.058712,0.054331,0.050406
1253,0.044128,0.05982,0.053534,0.050391
1257,0.044265,0.059196,0.052887,0.050939
1261,0.047558,0.055151,0.054651,0.050956
1265,0.045921,0.056082,0.055337,0.050183
1269,0.04713,0.056248,0.055101,0.0511
1273,0.044594,0.059671,0.056436,0.049793
1277,0.04384,0.058991,0.055779,0.049441
1281,0.04368,0.05958,0.055735,0.05032
1285,0.043681,0.058761,0.056059,0.04941
1289,0.043911,0.064681,0.051002,0.049622
1293,0.045914,0.062481,0.050734,0.049483
1297,0.045423,0.062016,0.051489,0.049571
1301,0.045828,0.062148,0.050336,0.049759
1305,0.046103,0.055988,0.056551,0.050612
1309,0.045619,0.054806,0.055403,0.050004
1313,0.046797,0.061662,0.050544,0.050888
1317,0.04506,0.056264,0.055298,0.05054
