loading_data, 2.49695
sending_initial,0.041539
writing_inital,53.5985
forces,allgatherv,writing
2648.71,51.2846,49.3547
2655.69,60.3187,52.1327
2655.11,46.6174,52.9918
2656.05,43.0904,53.1862
2650.49,49.4574,59.5356
