loading_data, 3.196567059
sending_initial,0.04398584366
builing_first_qt,2.960009098
forces,allgatherv,rebuilding
5.200699091,1.66916585,2.045083046
4.178462029,3.703970909,2.053940058
4.192721128,3.750595093,2.134327173
4.226252079,3.736140013,2.174592018
4.227093935,3.626840115,2.152127981
4.242629051,3.720194101,2.154591084
4.198256016,3.750720978,2.165736198
4.241915941,3.683941126,2.17898488
4.208784103,3.635773182,2.165719986
4.210675001,3.731712103,2.174002171
4.224398851,3.745014191,2.186738014
total_time,115.92945
