loading_data, 0.267147
sending_initial,0.00567102
writing_inital,5.8216
forces,allgatherv,writing
15.6657,0.00109005,3.96482
15.6494,0.000997066,5.24858
15.6545,0.00100493,5.21536
15.6222,0.00100899,5.23208
15.6863,0.00102878,5.22035
