loading_data, 0.291641
sending_initial,0.0057199
writing_inital,5.76413
forces,allgatherv,writing
36.4656,1.827,3.97163
36.499,0.000959873,5.25018
36.479,0.000983,5.25785
36.6458,0.000946999,5.25614
36.4934,0.000960112,5.28268
