loading_data, 2.744897842
sending_initial,0.04386210442
builing_first_qt,2.240642071
forces,allgatherv,rebuilding
5.391016006,7.552153826,2.09086895
5.209719896,7.91898489,2.066499949
5.253314972,8.030375004,2.157449007
5.255223036,7.936573029,2.184369087
5.274271965,7.895800114,2.199725151
5.322954893,7.94336319,2.207278013
5.304466963,7.935266018,2.203604937
5.331411123,7.923305035,2.220357895
5.298444033,7.817950964,2.209701061
5.276942968,7.903120041,2.198588848
5.263309002,7.902868032,2.217573166
total_time,173.9876368
