loading_data, 0.31777
sending_initial,0.0136061
writing_inital,11.7613
forces,allgatherv,writing
17.7921,0.00130081,4.11912
17.7933,0.00117302,6.96887
17.7924,0.00117207,6.90438
17.7888,0.00127888,6.91618
17.7937,0.00117517,5.39372
