loading_data, 0.280278
sending_initial,0.00529885
writing_inital,5.70704
forces,allgatherv,writing
27.3436,0.0988541,3.94301
27.3299,0.00105596,5.22515
27.3955,0.00107002,5.23429
27.3277,0.00105786,5.26682
27.3505,0.00106621,5.23891
