nodes	qt	bf
1	100.03	44875
2	52.84	20000
4	29.08	11786
8	15.89	6026
12	13.34	3982
16	11.76	2911
20	9.27	2370
24	6.93	2062
28	7.74	1724
32	7.15	1500
