loading_data, 0.324237
sending_initial,0.00463986
writing_inital,5.89265
forces,allgatherv,writing
18.2119,0.00141907,3.97328
18.2382,0.00128293,5.26732
18.2589,0.00132418,5.26929
18.2326,0.00136685,5.3021
18.2323,0.00130296,5.26962
