loading_data, 2.67367506
sending_initial,0.04308319092
builing_first_qt,2.230288029
forces,allgatherv,rebuilding
16.80719805,4.789115906,2.017861128
16.3530879,5.793956995,2.040217876
16.31172895,5.863541126,2.110810995
16.41972399,5.789613962,2.146698952
16.45128107,5.676315069,2.146790981
16.45441389,5.819458961,2.143157005
16.44858098,5.787549973,2.148799896
16.59392691,5.622728109,2.20256114
16.49576402,5.505011082,2.155654907
16.55588198,5.74083519,2.16522789
16.48739004,5.574864864,2.1768291
total_time,271.78106
