loading_data, 0.356143
sending_initial,0.000536919
writing_inital,5.41229
forces,allgatherv,writing
438.015,0.00031805,4.92511
437.837,0.000226974,5.21209
437.797,0.000205994,5.18877
437.591,0.000205994,5.25319
437.742,0.000206947,5.25921
