loading_data, 3.259531975
sending_initial,0.0475590229
builing_first_qt,2.572926998
forces,allgatherv,rebuilding
2.344179153,12.90635109,2.031368971
2.27158618,11.79156113,2.052699089
2.282657146,11.8448,2.153548002
2.291655064,11.83415508,2.13770318
2.306605101,11.73720407,2.133780956
2.313003063,11.96970797,2.140339851
2.302433014,11.89313293,2.14922905
2.30924511,11.85644698,2.148361921
2.303855896,11.76028895,2.165498018
2.281202078,11.85403585,2.159322977
2.27500391,11.863837,2.159658909
total_time,185.9297791
